gemeente;provincie;bortle;klasse;sqm_mediaan;objecten_200mm;breedtegraad
Ameland;Fryslân;3;Landelijke hemel;21,3;161;53,43
Het Hogeland;Groningen;3;Landelijke hemel;21,3;161;53,43
Schiermonnikoog;Fryslân;4;Landelijk/voorstad-overgang;21,2;157;53,48
Texel;Noord-Holland;4;Landelijk/voorstad-overgang;21,2;157;53,08
Vlieland;Fryslân;4;Landelijk/voorstad-overgang;21,2;157;53,3
Hollands Kroon;Noord-Holland;4;Landelijk/voorstad-overgang;21,1;158;52,89
Schouwen-Duiveland;Zeeland;4;Landelijk/voorstad-overgang;21,1;158;51,68
Terschelling;Fryslân;4;Landelijk/voorstad-overgang;21,1;157;53,36
Westerveld;Drenthe;4;Landelijk/voorstad-overgang;21,1;158;52,84
Westerwolde;Groningen;4;Landelijk/voorstad-overgang;21,1;157;53,01
Baarle-Nassau;Noord-Brabant;4;Landelijk/voorstad-overgang;21;159;51,45
De Fryske Marren;Fryslân;4;Landelijk/voorstad-overgang;21;158;52,89
Oldambt;Groningen;4;Landelijk/voorstad-overgang;21;157;53,21
Súdwest-Fryslân;Fryslân;4;Landelijk/voorstad-overgang;21;157;53
Vaals;Limburg;4;Landelijk/voorstad-overgang;21;160;50,77
Aa en Hunze;Drenthe;4;Landelijk/voorstad-overgang;20,9;157;52,99
Borger-Odoorn;Drenthe;4;Landelijk/voorstad-overgang;20,9;157;52,91
De Wolden;Drenthe;4;Landelijk/voorstad-overgang;20,9;158;52,7
Dinkelland;Overijssel;4;Landelijk/voorstad-overgang;20,9;158;52,37
Noardeast-Fryslân;Fryslân;4;Landelijk/voorstad-overgang;20,9;157;53,35
Noord-Beveland;Zeeland;4;Landelijk/voorstad-overgang;20,9;158;51,57
Noordenveld;Drenthe;4;Landelijk/voorstad-overgang;20,9;157;53,1
Sluis;Zeeland;4;Landelijk/voorstad-overgang;20,9;159;51,31
Steenwijkerland;Overijssel;4;Landelijk/voorstad-overgang;20,9;158;52,76
Alphen-Chaam;Noord-Brabant;4;Landelijk/voorstad-overgang;20,8;158;51,5
Berkelland;Gelderland;4;Landelijk/voorstad-overgang;20,8;158;52,1
Borsele;Zeeland;4;Landelijk/voorstad-overgang;20,8;159;51,43
Gulpen-Wittem;Limburg;4;Landelijk/voorstad-overgang;20,8;160;50,8
Olst-Wijhe;Overijssel;4;Landelijk/voorstad-overgang;20,8;158;52,37
Opsterland;Fryslân;4;Landelijk/voorstad-overgang;20,8;157;53,05
Waadhoeke;Fryslân;4;Landelijk/voorstad-overgang;20,8;157;53,23
Gemert-Bakel;Noord-Brabant;4;Landelijk/voorstad-overgang;20,7;158;51,54
Land van Cuijk;Noord-Brabant;4;Landelijk/voorstad-overgang;20,7;158;51,66
Midden-Drenthe;Drenthe;4;Landelijk/voorstad-overgang;20,7;158;52,87
Reusel-De Mierden;Noord-Brabant;4;Landelijk/voorstad-overgang;20,7;159;51,38
Veere;Zeeland;4;Landelijk/voorstad-overgang;20,7;158;51,55
Achtkarspelen;Fryslân;4;Landelijk/voorstad-overgang;20,6;157;53,22
Edam-Volendam;Noord-Holland;4;Landelijk/voorstad-overgang;20,6;158;52,54
Molenlanden;Zuid-Holland;4;Landelijk/voorstad-overgang;20,6;158;51,88
Montferland;Gelderland;4;Landelijk/voorstad-overgang;20,6;158;51,92
Oldebroek;Gelderland;4;Landelijk/voorstad-overgang;20,6;158;52,44
